,Engine Capacity,Cylinders,Drive Type,Fuel Tank Capacity,Fuel Economy,Fuel Type,Horsepower,Torque,Transmission,Top Speed,Seating Capacity,Acceleration,Length,Width,Height,Wheelbase,Trunk Capacity,name,price,currency,Country
23,1.5,4,0,40.0,7.5,0,118,145.0,2,190,5,11.5,4.455,1.695,1.475,2.6,510.0,Honda City 2021 1.5L DX,61793.0,0,0
25,1.5,4,0,42.0,6.1,0,105,140.0,2,180,5,11.2,4.115,1.7,1.475,2.5,286.0,Toyota Yaris 2021 1.5L S (CVT),59202.0,0,0
26,1.6,4,0,50.0,7.0,0,127,157.0,0,195,5,11.6,4.57,1.78,1.44,2.7,485.0,Hyundai Elantra 2021 1.6L GL,66165.0,0,0
27,1.5,4,0,55.0,6.8,0,169,250.0,0,170,5,9.8,4.545,1.855,1.719,2.7,595.0,MG RX5 2021 1.5T COM,75037.0,0,0
29,1.2,4,0,35.0,6.0,0,84,122.0,0,161,5,13.7,3.595,1.595,1.495,2.4,255.0,Kia Picanto 2021 1.2L Top,59252.0,0,0
32,1.5,4,0,50.0,6.2,0,110,145.0,0,170,5,11.0,4.533,1.705,1.49,2.6,430.0,BYD F3 2021 1.5L GS-i,54819.0,0,0
33,1.6,4,0,45.0,6.4,0,123,151.0,0,193,5,11.3,4.44,1.729,1.475,2.6,396.0,Hyundai Accent 2021 1.6L High,60500.0,0,0
34,1.5,4,0,42.0,5.9,0,110,136.0,0,175,5,11.5,3.796,1.686,1.527,2.489,261.0,Ford Figo 2021 1.5L Ambiente H/B,64900.0,0,0
35,1.5,4,2,45.0,8.0,0,103,135.0,0,175,7,13.0,4.435,1.695,1.705,2.685,213.0,Toyota Rush 2021 1.5L STD (7-Seater),712790.0,0,0
37,1.6,4,0,55.0,8.4,0,121,151.0,0,169,5,12.1,4.27,1.78,1.665,2.59,430.0,Hyundai Creta 2021 1.6L Basic,66990.0,0,0
38,1.2,4,0,37.0,6.0,0,82,113.0,0,170,5,13.2,3.995,1.735,1.515,2.45,378.0,Suzuki Dzire 2021 1.2L GLX,49286.0,0,0
39,1.6,4,0,50.0,6.6,0,115,150.0,0,180,5,12.1,4.445,1.748,1.466,2.652,506.0,Peugeot 301 2021 1.6L Allure,67100.0,0,0
40,1.6,4,0,41.0,6.5,0,118,149.0,0,180,5,11.5,4.295,1.96,1.59,2.62,432.0,Nissan Kicks 2021 1.6 SV,75064.0,0,0
41,2.0,4,0,50.0,7.5,0,150,180.0,0,194,5,10.0,4.165,1.801,1.565,2.6,544.0,Hyundai Kona 2021 2.0L GLS Smart,76890.0,0,0
42,2.0,4,0,50.0,7.5,0,150,180.0,0,194,5,10.0,4.165,1.801,1.565,2.6,544.0,Hyundai Kona 2021 2.0L GLS,72875.0,0,0
43,2.0,4,0,50.0,7.5,0,150,180.0,0,194,5,10.0,4.165,1.801,1.565,2.6,544.0,Hyundai Kona 2021 2.0L GLS Comfort (Red Pack),84590.0,0,0
44,2.0,4,0,50.0,7.5,0,150,180.0,0,194,5,10.0,4.165,1.801,1.565,2.6,544.0,Hyundai Kona 2021 2.0L GLS Comfort (Lime Pack) ,84590.0,0,0
45,2.0,4,0,50.0,7.5,0,150,180.0,0,194,5,10.0,4.165,1.801,1.565,2.6,544.0,Hyundai Kona 2021 2.0L GLS Premium Sunroof,95700.0,0,0
46,2.0,4,0,50.0,7.5,0,150,180.0,0,194,5,10.0,4.165,1.801,1.565,2.6,544.0,Hyundai Kona 2021 2.0L GLS Premium Sunroof,95700.0,0,0
47,2.0,4,0,50.0,7.5,0,150,180.0,0,194,5,10.0,4.165,1.801,1.565,2.6,544.0,Hyundai Kona 2021 2.0L GLS Comfort ,84590.0,0,0
48,2.0,4,0,50.0,7.5,0,150,180.0,0,194,5,10.0,4.165,1.801,1.565,2.6,544.0,Hyundai Kona 2021 2.0L GLS Premium,90090.0,0,0
49,1.2,4,0,37.0,6.0,0,82,113.0,0,170,5,13.2,3.995,1.735,1.515,2.45,378.0,Suzuki Dzire 2021 1.2L GL,44446.0,0,0
50,1.5,4,0,45.0,5.7,0,103,138.0,0,170,7,13.5,4.265,1.695,1.685,2.74,135.0,Suzuki Ertiga 2021 1.5L GL,58306.0,0,0
51,1.5,4,0,42.0,5.9,0,110,136.0,0,175,5,11.5,3.796,1.686,1.527,2.489,261.0,Ford Figo 2021 1.5L Trend H/B,69190.0,0,0
52,1.4,4,0,35.0,6.3,0,100,131.0,0,182,4,10.7,3.546,1.627,1.488,2.3,185.0,Fiat 500 2021 1.4L Hatch POP,70400.0,0,0
53,1.5,4,0,40.0,7.5,0,118,145.0,2,190,5,11.5,4.455,1.695,1.475,2.6,510.0,Honda City 2021 1.5L EX,74498.0,0,0
54,2.0,4,0,63.0,8.0,0,150,197.0,0,193,5,11.3,4.355,1.81,1.625,2.67,358.0,Mitsubishi ASX 2021 2.0L GLX (2WD),75075.0,0,0
55,2.4,4,2,80.0,7.5,1,147,342.0,1,165,3,13.1,5.335,1.815,1.815,3.09,900.0,Toyota Hilux 2021 2.4L GL M/T Diesel (4x2),84640.0,0,0
56,1.6,4,0,52.0,6.8,0,123,160.0,0,180,5,15.0,4.16,1.81,1.67,2.56,348.0,Changan CS35 2021 1.6L Standard (2WD),56799.0,0,0
57,2.4,4,0,60.0,9.3,0,155,225.0,0,175,5,11.5,4.519,1.831,1.694,2.67,580.0,Geely Emgrand X7 Sport 2021 2.4L GL (FWD),66990.0,0,0
58,1.8,4,0,53.0,6.8,0,140,175.0,0,180,5,10.6,4.257,1.775,1.646,2.555,530.0,Chevrolet Trax 2021 1.8L LT FWD,80300.0,0,0
59,1.8,4,0,53.0,6.8,0,140,175.0,0,180,5,10.6,4.257,1.775,1.646,2.555,530.0,Chevrolet Trax 2021 1.8L LT FWD,80300.0,0,0
60,2.0,4,1,55.0,8.1,0,220,350.0,0,180,5,8.2,4.545,1.855,1.719,2.7,595.0,MG RX5 2021 2.0T LUX (AWD),88262.0,0,0
61,1.4,4,0,37.0,4.4,0,91,130.0,0,170,5,11.6,3.995,1.745,1.47,2.52,355.0,Suzuki Baleno 2021 1.4L GL,57200.0,0,0
62,1.6,4,0,45.0,5.9,0,110,155.0,0,190,5,11.0,3.992,1.732,1.467,2.47,315.0,Skoda Fabia 2021 1.6L Ambition ,57173.0,0,0
63,2.0,4,0,48.0,6.5,0,148,192.0,0,190,5,8.3,4.275,1.765,1.535,2.57,240.0,Mazda CX 3 2021 2.0L GS (FWD),67568.0,0,0
64,1.5,4,0,63.0,7.0,0,147,250.0,0,200,5,9.8,4.405,1.805,1.685,2.67,378.0,Mitsubishi Eclipse Cross 2021 1.5T GLX,85470.0,0,0
65,1.6,4,0,62.0,7.4,0,132,161.0,0,170,5,12.1,4.475,1.85,1.655,2.67,513.0,Hyundai Tucson 2021 1.6L GDI TLe Basic (FWD),86295.0,0,0
66,1.6,4,0,62.0,7.4,0,132,161.0,0,170,5,12.1,4.475,1.85,1.655,2.67,513.0,Hyundai Tucson 2021 1.6L GDI Basic Panorama (FWD) ,88990.0,0,0
67,1.6,4,0,55.0,8.4,0,121,151.0,0,169,5,12.1,4.27,1.78,1.665,2.59,430.0,Hyundai Creta 2021 1.6L Mid,79750.0,0,0
68,1.6,4,0,41.0,6.5,0,118,149.0,0,180,5,11.5,4.295,1.96,1.59,2.62,432.0,Nissan Kicks 2021 1.6 SL,90079.0,0,0
69,2.0,4,0,50.0,7.4,0,150,192.0,0,205,5,9.5,4.569,1.801,1.435,2.7,408.0,Hyundai Elantra 2021 2.0L GLS,74690.0,0,0
72,1.5,4,0,45.0,5.7,0,103,138.0,0,170,7,13.5,4.265,1.695,1.685,2.74,135.0,Suzuki Ertiga 2021 1.5L GLX,63800.0,0,0
73,2.5,4,0,60.0,6.4,0,169,233.0,2,170,5,10.0,4.69,1.83,1.74,2.705,550.0,Nissan X-Trail 2021 S 2WD (5-Seater),86625.0,0,0
74,2.5,4,0,60.0,6.4,0,169,233.0,2,170,5,10.0,4.69,1.83,1.74,2.705,550.0,Nissan X-Trail 2021 S 2WD (5-Seater),86625.0,0,0
75,2.5,4,0,60.0,6.4,0,169,233.0,2,170,7,10.0,4.69,1.83,1.74,2.705,550.0,Nissan X-Trail 2021 S 2WD (7-Seater),88072.0,0,0
76,1.4,4,0,37.0,4.4,0,91,130.0,0,170,5,11.6,3.995,1.745,1.47,2.52,355.0,Suzuki Baleno 2021 1.4L GLX,62926.0,0,0
77,2.4,4,2,80.0,7.5,1,147,342.0,1,165,6,13.1,5.335,1.815,1.815,3.09,900.0,Toyota Hilux 2021 2.4L GL Double Cab DSL M/T (4x2),95795.0,0,0
78,1.6,4,0,47.0,5.4,0,123,151.0,0,200,5,11.6,4.63,1.799,1.416,2.7,525.0,Honda Civic 2021 1.6L LX Sport,92285.0,0,0
79,1.6,4,0,58.0,7.8,0,107,150.0,0,162,5,10.5,4.695,1.795,1.46,2.725,435.0,FAW Besturn B50 2021 1.6L Elegant,56293.0,0,0
80,2.4,4,1,60.0,9.5,0,167,222.0,0,198,7,10.2,4.695,1.81,1.68,2.67,291.0,Mitsubishi Outlander 2021 2.4L GLX (7-Seater) Mid,97625.0,0,0
81,2.4,4,1,60.0,9.5,0,167,222.0,0,198,7,10.2,4.695,1.81,1.68,2.67,291.0,Mitsubishi Outlander 2021 2.4L GLX (7-Seater) Standard ,88935.0,0,0
83,2.5,4,1,60.0,6.5,0,169,233.0,2,170,5,11.0,4.69,1.83,1.74,2.705,550.0,Nissan X-Trail 2021 S AWD (5-Seater),91476.0,0,0
84,2.0,4,0,62.0,8.0,0,153,192.0,0,170,5,11.0,4.48,1.85,1.65,2.67,515.0,Hyundai Tucson 2021 2.0L Standard (FWD) ,87175.0,0,0
85,1.6,4,0,55.0,7.1,0,121,151.0,0,169,5,12.1,4.27,1.78,1.665,2.59,402.0,Hyundai Creta 2021 1.6L Top,87450.0,0,0
86,1.4,4,0,48.0,5.7,0,140,230.0,0,190,5,9.8,4.248,1.796,1.6,2.57,245.0,Fiat 500X 2021 1.4T City Cross,76115.0,0,0
87,2.5,4,1,60.0,6.5,0,169,233.0,2,170,7,11.0,4.69,1.83,1.74,2.705,135.0,Nissan X-Trail 2021 S AWD (7-Seater),88440.0,0,0
89,2.7,4,2,80.0,11.1,0,164,245.0,1,165,3,11.5,5.33,1.8,1.7,3.085,900.0,Toyota Hilux 2021 2.7L GLX M/T (4x2) Short,89010.0,0,0
90,2.7,4,2,80.0,11.1,0,164,245.0,1,165,3,11.5,5.33,1.8,1.7,3.085,900.0,Toyota Hilux 2021 2.7L GLX M/T (4x2) Short,89010.0,0,0
95,1.6,4,0,52.0,6.1,0,113,154.0,0,180,5,10.4,4.615,1.76,1.495,2.7,510.0,Nissan Sentra 2021 1.6L S,69289.0,0,0
98,2.4,4,0,60.0,9.8,0,155,225.0,0,175,5,11.5,4.519,1.831,1.694,2.67,580.0,Geely Emgrand X7 Sport 2021 2.4L GT (FWD),73343.0,0,0
99,2.4,4,1,60.0,9.8,0,155,225.0,0,170,5,11.0,4.519,1.831,1.694,2.67,580.0,Geely Emgrand X7 Sport 2021 2.4L GW (AWD),92400.0,0,0
103,2.4,4,0,48.0,8.5,0,180,232.0,0,175,5,8.5,4.236,1.805,1.667,2.57,351.0,Jeep Renegade 2021 2.4L Sport (4x2),69190.0,0,0
106,2.5,4,0,60.0,6.9,0,178,231.0,0,195,5,9.3,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L LE STD (178 HP),95406.0,0,0
107,2.0,4,1,62.0,8.7,0,153,192.0,0,170,5,11.5,4.48,1.85,1.655,2.67,515.0,Hyundai Tucson 2021 2.0L (AWD) ,87890.0,0,0
108,1.6,4,0,50.0,6.6,0,115,156.0,0,180,5,13.2,4.632,1.814,1.443,2.711,503.0,Renault Megane 2021 1.6L PE,57635.0,0,0
109,2.0,4,0,50.0,7.7,0,140,193.0,0,209,5,9.9,4.632,1.814,1.443,2.711,503.0,Renault Megane 2021 2.0L PE,69185.0,0,0
110,2.4,4,0,75.0,10.2,0,140,210.0,1,160,2,11.0,5.168,1.98,1.928,3.198,4410.0,Maxus G10 Cargo 2021 2.4L Cargo Van,73700.0,0,0
111,1.5,4,0,63.0,7.0,0,147,250.0,0,200,5,9.8,4.405,1.805,1.685,2.67,378.0,Mitsubishi Eclipse Cross 2021 1.5T GLS (Full Option),95700.0,0,0
112,1.8,4,1,53.0,7.4,0,140,175.0,0,180,5,11.1,4.257,1.775,1.646,2.555,530.0,Chevrolet Trax 2021 1.8L Premier AWD,96250.0,0,0
113,2.5,4,0,60.0,6.9,0,205,249.0,0,195,5,8.3,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L LE (204 HP),97798.0,0,0
114,1.8,4,0,52.0,6.9,0,130,174.0,0,185,5,9.7,4.615,1.76,1.495,2.7,510.0,Nissan Sentra 2021 1.8L S,97350.0,0,0
115,2.0,4,1,55.0,9.0,0,170,207.0,2,200,5,9.5,4.6,1.855,1.685,2.69,1085.0,Toyota Rav4 2021 2.0L LE AWD,101896.0,0,0
116,2.0,4,1,55.0,9.0,0,170,207.0,2,200,5,9.5,4.6,1.855,1.685,2.69,1085.0,Toyota Rav4 2021 2.0L XLE AWD ,117266.0,0,0
117,1.5,4,0,56.0,6.7,0,170,275.0,0,190,5,9.4,4.65,1.844,1.661,2.725,846.0,Chevrolet Equinox 2021 1.5T LS (FWD),90899.0,0,0
120,2.5,4,1,60.0,6.5,0,169,233.0,2,170,7,11.0,4.69,1.83,1.74,2.705,135.0,Nissan X-Trail 2021 SV X-Treamer AWD (7-Seater),104412.0,0,0
121,2.5,4,1,60.0,6.5,0,169,233.0,2,170,7,11.0,4.69,1.83,1.74,2.705,135.0,Nissan X-Trail 2021 SV X-Treamer AWD (7-Seater),104412.0,0,0
122,2.4,4,1,80.0,6.8,1,147,400.0,1,175,6,13.2,5.335,1.815,1.815,3.09,900.0,Toyota Hilux 2021 2.4L GL 2 Double Cab DSL M/T (4x4),116035.0,0,0
123,1.6,4,1,50.0,7.0,0,175,265.0,0,205,5,7.9,4.165,1.801,1.565,2.6,544.0,Hyundai Kona 2021 1.6L T-GDI GLS Premium (AWD) ,101860.0,0,0
124,1.6,4,1,50.0,7.0,0,175,265.0,0,205,5,7.9,4.165,1.801,1.565,2.6,544.0,Hyundai Kona 2021 1.6L T-GDI GLS Premium Sunroof (AWD) ,102190.0,0,0
125,2.5,4,1,58.0,7.0,0,188,251.0,0,210,5,7.5,4.55,1.84,1.675,2.7,506.0,Mazda CX-5 2021 2.5L GT (AWD),120120.0,0,0
126,2.7,4,2,65.0,10.8,0,164,250.0,0,170,8,11.7,4.735,1.83,1.795,2.75,184.0,Toyota Innova 2021 2.7L STD,99733.0,0,0
127,2.8,4,2,55.0,10.8,1,174,360.0,0,170,8,11.7,4.735,1.83,1.795,2.75,184.0,Toyota Innova 2021 2.8T STD Diesel ,108613.0,0,0
128,1.6,4,0,52.0,7.2,0,123,160.0,0,180,5,12.5,4.16,1.81,1.67,2.56,348.0,Changan CS35 2021 1.6L Full Option (2WD),64389.0,0,0
129,1.6,4,0,50.0,6.6,0,115,156.0,0,180,5,13.2,4.632,1.814,1.443,2.711,503.0,Renault Megane 2021 1.6L SE,67100.0,0,0
130,3.0,6,2,70.0,13.1,0,215,285.0,0,182,5,9.2,4.785,1.815,1.8,2.8,131.0,Mitsubishi Montero Sport 2021 3.0L GLX (2WD) mid,121275.0,0,0
131,1.6,4,0,47.0,5.8,0,115,156.0,0,180,5,12.5,4.175,1.775,1.61,2.5,375.0,Suzuki Vitara 2021 1.6L GLX 2WD,76786.0,0,0
133,1.5,4,0,56.0,6.7,0,170,275.0,0,200,5,9.2,4.63,1.839,1.661,2.725,838.0,GMC Terrain 2021 1.5T SLE (FWD),105683.0,0,0
134,1.5,4,0,56.0,6.7,0,170,275.0,0,200,5,9.2,4.63,1.839,1.661,2.725,838.0,GMC Terrain 2021 1.5T SLE (FWD),105683.0,0,0
135,1.5,4,0,56.0,5.4,0,198,260.0,0,195,5,7.5,4.89,1.86,1.45,2.83,473.0,Honda Accord 2021 1.5T LX,115385.0,0,0
136,1.6,4,0,60.0,6.5,0,163,240.0,0,188,5,9.0,4.253,1.863,1.472,2.61,420.0,Peugeot 308 2021 1.6L GT Line,103835.0,0,0
137,1.6,4,0,53.0,6.0,0,165,240.0,0,205,5,9.0,4.447,1.841,1.615,2.675,520.0,Peugeot 3008 2021 1.6T Active,108433.0,0,0
138,2.0,4,1,48.0,7.0,0,148,192.0,0,190,5,8.2,4.275,1.765,1.535,2.57,240.0,Mazda CX 3 2021 2.0L GTX (AWD),94490.0,0,0
139,1.6,4,0,50.0,6.5,0,130,157.0,0,190,5,12.0,4.35,1.78,1.45,2.7,482.0,Kia Cerato Hatchback 2021 1.6L Base,77424.0,0,0
140,2.0,4,1,63.0,7.3,0,150,196.0,2,194,5,10.4,4.465,1.8,1.615,2.665,1240.0,Subaru XV 2021 2.0L Standard,96800.0,0,0
141,2.7,4,2,80.0,11.1,0,164,245.0,1,165,6,11.5,5.335,1.815,1.815,3.09,900.0,Toyota Hilux 2021 2.7L GLX Double Cab M/T (4x2),108790.0,0,0
142,2.5,4,0,60.0,6.9,0,205,249.0,0,195,5,8.3,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L GLE (204 HP),109296.0,0,0
143,2.5,4,0,60.0,6.9,0,205,249.0,0,195,5,8.3,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L GLE Touring (204 HP) ,106223.0,0,0
144,1.5,4,0,45.0,5.8,0,180,220.0,0,210,5,8.4,4.575,1.755,1.435,2.67,478.0,Honda Civic 2021 1.5 RS,118850.0,0,0
145,3.5,6,1,88.0,13.0,0,189,306.0,0,180,7,12.7,4.9,1.875,1.87,2.78,1081.0,Mitsubishi Pajero 2021 3.5L GLX 5 Door Base,124740.0,0,0
146,3.5,6,1,88.0,13.0,0,189,306.0,0,180,7,12.7,4.9,1.875,1.87,2.78,1081.0,Mitsubishi Pajero 2021 3.5L GLS 5 Door,133485.0,0,0
147,2.5,4,0,60.0,6.9,0,205,249.0,0,195,5,8.3,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L SE (204 HP),112256.0,0,0
148,1.5,4,0,55.0,8.2,0,148,210.0,0,170,5,12.5,4.335,1.814,1.695,2.56,500.0,Haval H2 2021 1.5T Intelligent ,70999.0,0,0
149,3.0,6,1,60.0,10.3,0,227,292.0,0,205,7,8.7,4.695,1.81,1.68,2.67,291.0,Mitsubishi Outlander 2021 3.0L GLS (7-Seater) High,110550.0,0,0
150,3.0,6,1,60.0,10.3,0,227,292.0,0,205,7,8.7,4.695,1.81,1.68,2.67,291.0,Mitsubishi Outlander 2021 3.0L GLS (7-Seater) High,110550.0,0,0
153,2.7,4,2,80.0,11.1,0,164,245.0,1,165,5,11.5,5.335,1.815,1.815,3.09,900.0,Toyota Hilux 2021 2.7L GLX 2 Double Cab M/T (4x2),112355.0,0,0
154,2.5,4,0,50.0,4.5,2,176,221.0,2,200,5,9.1,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L LE HEV,101441.0,0,0
155,2.5,4,0,50.0,4.5,2,176,221.0,2,200,5,9.1,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L GLE HEV,115103.0,0,0
156,2.5,4,0,50.0,4.5,2,212,221.0,2,200,5,9.1,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L Lumiere Hybrid (212 HP) ,144817.0,0,0
157,2.5,4,0,50.0,4.5,2,176,221.0,2,200,5,9.1,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 2.5L GLE Touring HEV ,112028.0,0,0
161,2.7,4,1,80.0,10.7,0,164,245.0,1,165,6,11.9,5.335,1.815,1.815,3.09,900.0,Toyota Hilux 2021 2.7L GL 2 Double Cab M/T (4x4),113965.0,0,0
162,2.5,4,1,60.0,6.5,0,169,233.0,2,170,7,11.0,4.69,1.83,1.74,2.705,135.0,Nissan X-Trail 2021 SL AWD (7-Seater) W/Safety Shield ,121219.0,0,0
163,1.5,4,0,61.7,7.0,0,165,250.0,0,220,5,8.3,4.923,1.854,1.47,2.829,453.0,Chevrolet Malibu 2021 1.5L Turbo LS,89100.0,0,0
164,1.5,4,0,61.7,7.0,0,165,250.0,0,220,5,8.3,4.923,1.854,1.47,2.829,453.0,Chevrolet Malibu 2021 1.5L Turbo LS,89100.0,0,0
165,1.5,4,0,61.7,7.0,0,165,250.0,0,220,5,8.3,4.923,1.854,1.47,2.829,453.0,Chevrolet Malibu 2021 1.5L Turbo LT,115500.0,0,0
166,1.5,4,0,61.7,7.0,0,165,250.0,0,220,5,8.3,4.923,1.854,1.47,2.829,453.0,Chevrolet Malibu 2021 1.5L Turbo Premier ,132990.0,0,0
167,2.7,4,2,80.0,12.0,0,160,245.0,0,180,7,11.8,4.795,1.855,1.835,2.75,348.0,Toyota Fortuner 2021 2.7L GX2 (4X2),114989.0,0,0
169,1.6,4,0,53.0,6.0,0,165,240.0,0,205,5,9.0,4.447,1.841,1.615,2.675,520.0,Peugeot 3008 2021 1.6T Allure,125758.0,0,0
170,1.5,4,0,56.0,5.4,0,198,260.0,0,195,5,7.5,4.89,1.86,1.45,2.83,473.0,Honda Accord 2021 1.5T LX Sport,126935.0,0,0
171,2.4,4,0,55.0,9.2,0,172,225.0,0,170,8,11.2,4.83,1.8,1.695,2.9,1087.0,Honda Odyssey J 2021 2.4 EX,121160.0,0,0
172,1.5,4,0,55.0,8.2,0,148,210.0,0,170,5,12.5,4.335,1.814,1.695,2.56,500.0,Haval H2 2021 1.5T Luxury,63410.0,0,0
173,1.6,4,0,50.0,6.5,0,130,157.0,0,190,5,12.0,4.35,1.78,1.45,2.7,482.0,Kia Cerato Hatchback 2021 1.6L Top,90734.0,0,0
174,2.4,4,1,62.0,9.5,0,181,237.0,0,180,5,10.0,4.48,1.85,1.655,2.67,515.0,Hyundai Tucson 2021 2.4L GDI Full Option (AWD),129250.0,0,0
175,2.0,4,0,58.0,9.4,0,197,350.0,0,170,5,11.6,4.649,1.852,1.71,2.68,800.0,Haval H6 2021 Fashionable,75599.0,0,0
176,2.0,4,0,58.0,9.4,0,197,350.0,0,170,5,11.6,4.649,1.852,1.71,2.68,800.0,Haval H6 2021 Intelligent,81349.0,0,0
177,2.0,4,0,58.0,9.4,0,197,350.0,0,170,5,11.6,4.649,1.852,1.71,2.68,800.0,Haval H6 2021 Supreme,88249.0,0,0
178,2.0,4,0,58.0,9.4,0,197,350.0,0,170,5,11.6,4.649,1.852,1.71,2.68,800.0,Haval H6 2021 Supreme Panoramic,93999.0,0,0
179,2.0,4,0,58.0,9.4,0,197,350.0,0,170,5,11.6,4.649,1.852,1.71,2.68,800.0,Haval H6 2021 Supreme Panoramic,93999.0,0,0
180,2.4,4,0,70.0,8.3,0,185,241.0,0,205,5,9.5,4.855,1.86,1.465,2.805,450.0,Kia Optima 2021 2.4L GDI,75570.0,0,0
181,2.0,4,0,70.0,8.5,0,240,350.0,0,205,5,8.0,4.855,1.86,1.465,2.805,450.0,Kia Optima 2021 2.0L T-GDI GT,120450.0,0,0
182,3.6,6,0,70.0,8.3,0,305,356.0,0,220,5,6.8,5.113,1.854,1.496,2.837,532.0,Chevrolet Impala 2021 3.6L LS,122452.0,0,0
183,3.8,6,1,69.0,13.0,0,241,327.0,0,180,5,12.7,4.385,1.875,1.85,2.56,500.0,Mitsubishi Pajero 2021 3.8L GLS 3 Door High,127710.0,0,0
184,3.5,6,0,60.0,7.0,0,298,356.0,0,235,5,6.3,4.885,1.84,1.445,2.824,427.0,Toyota Camry 2021 3.5L SE (298 HP),123186.0,0,0
185,2.5,4,0,61.3,6.3,0,188,244.0,2,220,5,8.0,4.869,1.85,1.44,2.825,517.0,Nissan Altima 2021 2.5 S,98163.0,0,0
186,2.7,4,1,80.0,12.4,0,160,245.0,0,180,7,12.0,4.795,1.855,1.835,2.75,348.0,Toyota Fortuner 2021 2.7L GX2 (4X4),124324.0,0,0
187,2.4,4,1,80.0,7.9,1,147,400.0,0,175,7,13.2,4.795,1.855,1.835,2.75,348.0,Toyota Fortuner 2021 2.4L GX1 Diesel (4X4),114700.0,0,0
